player,Goals,Total_xG,Avg_xG_per_Shot,Shot_Count,G_minus_xG,Aerial_Duels_Won,Aerial_Duels_Total,Aerial_Pass_Wins,Total_Aerial_Wins,Finishing_Percentile,Aerial_Percentile,Smart_Scout_Score,Total_Minutes,Goals_p90,Total_xG_p90,Total_Aerial_Wins_p90,scaled_Goals_p90,scaled_Total_xG_p90,scaled_Total_Aerial_Wins_p90,scaled_G_minus_xG,is_aerial_specialist,is_clinical_finisher,is_high_volume_threat
Memphis Depay,1,1.181855992,0.1181855992,10,-0.181855992,0,0,2,2,0.3466666666666667,0.4466666666666666,0.3966666666666666,417,0.2158273381294964,0.2550768328057554,0.4316546762589928,0.184652278177458,0.2641764535556808,0.09249743062692702,0.29264681835543316,0,0,0
Abderrazak Hamdallah,0,0.542996504,0.271498252,2,-0.542996504,0,0,3,3,0.1466666666666666,0.6,0.3733333333333333,375,0.0,0.13031916095999999,0.72,0.0,0.13179291982988128,0.15428571428571428,0.23131488447556475,0,0,0
Walid Cheddira,0,0.249388745,0.1246943725,2,-0.249388745,0,0,2,2,0.2933333333333333,0.4466666666666666,0.37,213,0.0,0.10537552605633803,0.8450704225352113,0.0,0.10532459540815305,0.18108651911468812,0.2811778354967017,0,0,0
Marko Livaja,1,1.773984791,0.2534263987142857,7,-0.773984791,1,0,2,3,0.1066666666666666,0.6,0.3533333333333333,500,0.18,0.31931726238,0.54,0.15399999999999997,0.33234360471586183,0.11571428571428571,0.1920865014097843,0,0,0
Lautaro Javier Martínez,1,2.905046753,0.1936697835333333,15,-1.905046753,0,0,4,4,0.0133333333333333,0.68,0.3466666666666667,605,0.1487603305785124,0.4321557153223141,0.5950413223140496,0.12727272727272726,0.4520793525833315,0.12750885478158205,0.0,0,0,0
Karim Ansarifard,0,0.06399969,0.06399969,1,-0.06399969,0,0,1,1,0.4533333333333333,0.24,0.3466666666666667,193,0.0,0.029844415025906734,0.46632124352331605,0.0,0.025176615436175002,0.09992598075499629,0.3126621716082684,0,0,0
Ui-Jo Hwang,0,0.323128,0.323128,1,-0.323128,0,0,2,2,0.24,0.4466666666666666,0.3433333333333333,362,0.0,0.08033569060773481,0.49723756906077343,0.0,0.07875419014524483,0.10655090765588002,0.26865481201488656,0,0,0
Cristiano Ronaldo dos Santos Aveiro,1,1.939259267,0.176296297,11,-0.939259267,0,0,3,3,0.0666666666666666,0.6,0.3333333333333333,421,0.2137767220902613,0.41456848938242274,0.6413301662707839,0.18289786223277907,0.4334171005237113,0.13742789277231082,0.16401819309974378,0,0,0
Sardar Azmoun,0,0.960581323,0.1921162646,5,-0.960581323,0,0,3,3,0.0533333333333333,0.6,0.3266666666666666,212,0.0,0.40779395787735845,1.2735849056603774,0.0,0.426228473109391,0.272911051212938,0.16039710134924293,0,0,0
Antoine Semenyo,0,0.12024433,0.12024433,1,-0.12024433,0,0,1,1,0.4,0.24,0.32,191,0.0,0.05665963193717278,0.47120418848167545,0.0,0.05363092305363473,0.10097232610321616,0.3031102314992147,0,0,0
Kevin José Rodríguez Cortez,0,0.13848205,0.13848205,1,-0.13848205,0,0,1,1,0.36,0.24,0.3,189,0.0,0.06594383333333333,0.47619047619047616,0.0,0.06348262492063741,0.1020408163265306,0.30001294775509807,0,0,0
Taha Yassine Khenissi,0,0.012915949,0.012915949,1,-0.012915949,0,0,0,0,0.5333333333333333,0.0666666666666666,0.3,190,0.0,0.0061180811052631585,0.0,0.0,0.0,0.0,0.32133764423247607,0,0,0
Noah Okafor,0,0.032096077,0.032096077,1,-0.032096077,0,0,0,0,0.52,0.0666666666666666,0.2933333333333333,286,0.0,0.010100164090909091,0.0,0.0,0.0042254893781678605,0.0,0.3180803127971609,0,0,0
Issam Jebali,0,0.5930872340000001,0.1976957446666667,3,-0.5930872340000001,1,0,1,2,0.1333333333333333,0.4466666666666666,0.29,254,0.0,0.21014901992125987,0.7086614173228346,0.0,0.21650241039483628,0.15185601799775025,0.2228080533716803,0,0,0
